,P,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,51N,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,52N,53N,54N
14,897,386,381,325,281,283,237,197,199,185,122,86,59,15,0,28,73,116,145,159,203,228,248,301,316,345,387,402,432,476,490,498,562,728,756,771,813,830,857,944,951,1026,966,1106,0,1260,0,983,0,1425,1752,1704,1616,1527,1394,1353,1312,1264,1290,1324,1332,931,951,971,959,939,919,899,879,859,839,819,799,779,759,739,719,699,679,659,639,619,599,579,559,539,519,1664,1576,1489
15,876,414,419,375,331,334,288,248,250,192,129,135,87,43,28,0,44,88,115,131,175,200,220,273,288,317,359,374,404,448,462,470,534,700,728,743,785,800,829,916,923,998,928,1078,0,1178,0,955,0,1397,1724,1676,1588,1499,1366,1325,1284,1236,1262,1296,1304,903,923,943,931,911,891,871,851,831,811,791,771,751,731,711,691,671,651,631,611,591,571,551,531,511,491,1636,1548,1461
16,822,458,463,417,373,376,330,290,292,245,172,179,131,87,73,44,0,45,72,88,132,157,177,230,245,274,216,331,361,405,419,427,492,657,685,700,742,760,686,873,880,955,885,1035,0,1135,0,912,0,1354,1680,1632,1544,1455,1322,1281,1240,1192,1218,1252,1260,859,879,899,887,867,847,827,807,787,767,747,727,707,687,667,647,627,607,587,567,547,527,507,487,467,427,1592,1504,1417
17,779,502,507,461,417,420,374,334,335,288,216,223,175,131,116,88,45,0,27,43,87,112,132,185,200,229,171,286,316,360,374,382,447,612,640,655,697,715,641,828,835,910,810,990,0,1090,0,867,0,1309,1638,1590,1502,1413,1280,1239,1198,1150,1176,1210,1218,817,837,857,845,825,805,785,765,745,725,705,685,665,645,625,605,585,565,545,525,505,485,465,445,425,405,1548,1460,1374
18,765,530,534,488,444,447,401,361,363,316,260,231,203,160,145,115,72,27,0,15,59,84,99,157,175,201,244,259,289,331,346,374,418,585,613,626,670,685,713,800,841,882,922,962,0,1116,0,1199,0,1280,1570,1617,1705,1794,1314,1361,1402,1450,1490,1060,1055,1088,1114,1139,1180,779,799,820,879,899,920,979,1000,1020,1016,410,432,453,513,532,553,633,654,713,733,754,773,1656,1746,1835
19,750,545,549,503,459,462,416,376,379,332,259,267,218,174,159,131,88,43,15,0,40,70,86,144,160,196,231,245,274,316,336,360,406,568,595,611,654,670,772,771,824,867,908,947,0,1105,0,1194,0,1268,1658,1705,1793,1890,1284,1331,1377,1425,1465,1018,1029,1060,1089,1114,1142,1156,748,770,796,849,867,898,948,977,998,392,414,435,494,515,535,596,615,634,695,716,734,1747,1837,1927
20,705,588,593,547,503,505,459,419,421,374,302,311,262,218,203,175,132,87,59,40,0,28,44,101,121,146,184,204,227,276,294,320,359,529,557,573,634,631,660,740,790,831,871,910,0,1049,0,1146,0,1231,1617,1672,1766,1854,1252,1310,1352,1391,1440,979,991,1019,1056,1076,1104,1119,721,748,771,818,848,875,922,948,975,369,390,394,444,467,493,540,570,590,640,673,692,1717,1808,1896
21,687,615,620,576,532,535,489,449,551,504,351,214,287,243,228,200,157,112,84,70,28,0,16,75,95,123,162,178,211,248,261,296,340,505,532,548,583,604,634,719,760,806,845,884,0,1041,0,1120,0,1203,1573,1622,1712,1800,1221,1270,1310,1356,1399,956,968,1002,1025,1051,1082,1095,689,716,737,791,818,838,893,912,940,329,353,378,423,454,476,526,557,579,624,658,679,1658,1753,1840
22,663,629,634,588,544,547,501,461,463,416,343,315,307,263,248,220,177,132,99,86,44,16,0,55,82,107,149,163,193,237,255,284,330,475,520,537,568,595,622,698,749,792,830,873,0,1024,0,1110,0,1193,1569,1616,1703,1790,1203,1256,1296,1348,1386,944,955,984,1013,1041,1068,1085,671,693,715,772,799,822,876,902,920,312,334,361,411,441,461,509,542,560,611,642,669,1655,1742,1837
23,600,687,692,646,602,605,559,519,521,474,402,628,360,316,301,273,330,185,157,144,101,75,55,0,19,46,89,106,132,176,192,221,264,430,456,483,515,535,563,648,690,728,773,816,0,966,0,1048,0,1128,1514,1562,1650,1738,1149,1197,1236,1285,1327,881,894,918,953,980,1006,1020,615,643,660,718,746,772,817,846,870,313,340,362,407,436,460,512,539,565,612,640,664,1604,1690,1790
